name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63.0","2014 est.","1","Africa"
"Namibia","namibia","59.1","2015 est.","2","Africa"
"Zambia","zambia","57.1","2015 est.","3","Africa"
"Sao Tome and Principe","sao-tome-and-principe","56.3","2017 est.","4","Africa"
"Central African Republic","central-african-republic","56.2","2008 est.","5","Africa"
"Eswatini","eswatini","54.6","2016 est.","6","Africa"
"Colombia","colombia","54.2","2020 est.","7","South America"
"Mozambique","mozambique","54.0","2014 est.","8","Africa"
"Hong Kong","hong-kong","53.9","2016 est.","9","East and Southeast Asia"
"Botswana","botswana","53.3","2015 est.","10","Africa"
"Angola","angola","51.3","2018 est.","11","Africa"
"Saint Lucia","saint-lucia","51.2","2016 est.","12","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","50.9","1996","13","East and Southeast Asia"
"Costa Rica","costa-rica","49.3","2020 est.","14","Central America and the Caribbean"
"Panama","panama","49.2","2018 est.","15","Central America and the Caribbean"
"Brazil","brazil","48.9","2020 est.","16","South America"
"Congo, Republic of the","congo-republic-of-the","48.9","2011 est.","17","Africa"
"Guatemala","guatemala","48.3","2014 est.","18","Central America and the Caribbean"
"Honduras","honduras","48.2","2019 est.","19","Central America and the Caribbean"
"Burkina Faso","burkina-faso","47.3","2018 est.","20","Africa"
"Ecuador","ecuador","47.3","2020 est.","21","South America"
"Seychelles","seychelles","46.8","2013 est.","22","Africa"
"Cameroon","cameroon","46.6","2014 est.","23","Africa"
"Nicaragua","nicaragua","46.2","2014 est.","24","Central America and the Caribbean"
"Paraguay","paraguay","46.2","2018 est.","25","South America"
"South Sudan","south-sudan","46.0","2010 est.","26","Africa"
"Saudi Arabia","saudi-arabia","45.9","2013 est.","27","Middle East"
"Singapore","singapore","45.9","2017","28","East and Southeast Asia"
"Mexico","mexico","45.4","2020 est.","29","North America"
"Comoros","comoros","45.3","2014 est.","30","Africa"
"Chile","chile","44.9","2020 est.","31","South America"
"Lesotho","lesotho","44.9","2017 est.","32","Africa"
"Guyana","guyana","44.6","2007 est.","33","South America"
"Philippines","philippines","44.4","2015 est.","34","East and Southeast Asia"
"Zimbabwe","zimbabwe","44.3","2017 est.","35","Africa"
"Rwanda","rwanda","43.7","2016 est.","36","Africa"
"Bolivia","bolivia","43.6","2020 est.","37","South America"
"Ghana","ghana","43.5","2016 est.","38","Africa"
"Togo","togo","43.1","2015 est.","39","Africa"
"Peru","peru","42.8","2018 est.","40","South America"
"Uganda","uganda","42.8","2016 est.","41","Africa"
"Madagascar","madagascar","42.6","2012 est.","42","Africa"
"Cabo Verde","cabo-verde","42.4","2015 est.","43","Africa"
"Argentina","argentina","42.3","2020 est.","44","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42.1","2012 est.","45","Africa"
"Turkey (Turkiye)","turkey-turkiye","41.9","2018 est.","46","Middle East"
"Djibouti","djibouti","41.6","2017 est.","47","Africa"
"Haiti","haiti","41.1","2012 est.","48","Central America and the Caribbean"
"Malaysia","malaysia","41.1","2015 est.","49","East and Southeast Asia"
"Qatar","qatar","41.1","2007","50","Middle East"
"United States","united-states","41.1","2016 est.","51","North America"
"Iran","iran","40.9","2019 est.","52","Middle East"
"Kenya","kenya","40.8","2015 est.","53","Africa"
"Turkmenistan","turkmenistan","40.8","1998","54","Central Asia"
"Tanzania","tanzania","40.5","2017 est.","55","Africa"
"Bulgaria","bulgaria","40.3","2019 est.","56","Europe"
"Senegal","senegal","40.3","2011 est.","57","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","40.1","2013 est.","58","Australia and Oceania"
"Sri Lanka","sri-lanka","39.8","2016 est.","59","South Asia"
"Uruguay","uruguay","39.7","2018 est.","60","South America"
"Dominican Republic","dominican-republic","39.6","2020 est.","61","Central America and the Caribbean"
"Morocco","morocco","39.5","2013 est.","62","Africa"
"Tuvalu","tuvalu","39.1","2010 est.","63","Australia and Oceania"
"Montenegro","montenegro","39.0","2015 est.","64","Europe"
"Venezuela","venezuela","39.0","2011","65","South America"
"El Salvador","el-salvador","38.8","2019 est.","66","Central America and the Caribbean"
"Laos","laos","38.8","2018 est.","67","East and Southeast Asia"
"Samoa","samoa","38.7","2013 est.","68","Australia and Oceania"
"Burundi","burundi","38.6","2013 est.","69","Africa"
"Israel","israel","38.6","2018 est.","70","Middle East"
"Malawi","malawi","38.5","2019 est.","71","Africa"
"China","china","38.2","2019 est.","72","East and Southeast Asia"
"Gabon","gabon","38.0","2017 est.","73","Africa"
"Cambodia","cambodia","37.9","2008 est.","74","East and Southeast Asia"
"Indonesia","indonesia","37.9","2021 est.","75","East and Southeast Asia"
"Benin","benin","37.8","2018 est.","76","Africa"
"Tonga","tonga","37.6","2015 est.","77","Australia and Oceania"
"Vanuatu","vanuatu","37.6","2010 est.","78","Australia and Oceania"
"Chad","chad","37.5","2018 est.","79","Africa"
"Russia","russia","37.5","2018 est.","80","Central Asia"
"Bhutan","bhutan","37.4","2017 est.","81","South Asia"
"Cote d'Ivoire","cote-divoire","37.2","2018 est.","82","Africa"
"Solomon Islands","solomon-islands","37.1","2013 est.","83","Australia and Oceania"
"Mauritius","mauritius","36.8","2017 est.","84","Africa"
"Uzbekistan","uzbekistan","36.8","2003","85","Central Asia"
"Yemen","yemen","36.7","2014 est.","86","Middle East"
"Thailand","thailand","36.4","2018 est.","87","East and Southeast Asia"
"New Zealand","new-zealand","36.2","1997","88","Australia and Oceania"
"Serbia","serbia","36.2","2017 est.","89","Europe"
"Mali","mali","36.1","2018 est.","90","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36.0","2015","91","South America"
"Romania","romania","36.0","2017 est.","92","Europe"
"Gambia, The","gambia-the","35.9","2015 est.","93","Africa"
"India","india","35.7","2019 est.","94","South Asia"
"Sierra Leone","sierra-leone","35.7","2018 est.","95","Africa"
"Vietnam","vietnam","35.7","2018 est.","96","East and Southeast Asia"
"Marshall Islands","marshall-islands","35.5","2019 est.","97","Australia and Oceania"
"Liberia","liberia","35.3","2016 est.","98","Africa"
"Lithuania","lithuania","35.3","2019 est.","99","Europe"
"Italy","italy","35.2","2018 est.","100","Europe"
"Nigeria","nigeria","35.1","2018 est.","101","Africa"
"Ethiopia","ethiopia","35.0","2015 est.","102","Africa"
"Jamaica","jamaica","35.0","2016 est.","103","Central America and the Caribbean"
"Macau","macau","35.0","2013 est.","104","East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","34.8","2018 est.","105","Africa"
"United Kingdom","united-kingdom","34.8","2016 est.","106","Europe"
"Spain","spain","34.7","2017 est.","107","Europe"
"Georgia","georgia","34.5","2020 est.","108","Middle East"
"Latvia","latvia","34.5","2019 est.","109","Europe"
"Australia","australia","34.3","2018 est.","110","Australia and Oceania"
"Niger","niger","34.3","2014 est.","111","Africa"
"Luxembourg","luxembourg","34.2","2019 est.","112","Europe"
"North Macedonia","north-macedonia","34.2","2017 est.","113","Europe"
"Sudan","sudan","34.2","2014 est.","114","Africa"
"Tajikistan","tajikistan","34.0","2015 est.","115","Central Asia"
"Greenland","greenland","33.9","2015 est.","116","North America"
"Portugal","portugal","33.8","2017 est.","117","Europe"
"Azerbaijan","azerbaijan","33.7","2008","118","Middle East"
"Gaza Strip","gaza-strip","33.7","2016 est.","119","Middle East"
"Jordan","jordan","33.7","2010 est.","120","Middle East"
"West Bank","west-bank","33.7","2016 est.","121","Middle East"
"Taiwan","taiwan","33.6","2014","122","East and Southeast Asia"
"Pakistan","pakistan","33.5","2015 est.","123","South Asia"
"Canada","canada","33.3","2017 est.","124","North America"
"Greece","greece","33.1","2019 est.","125","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.0","2011 est.","126","Europe"
"Japan","japan","32.9","2013 est.","127","East and Southeast Asia"
"Nepal","nepal","32.8","2010 est.","128","South Asia"
"Tunisia","tunisia","32.8","2015 est.","129","Africa"
"Mongolia","mongolia","32.7","2018 est.","130","East and Southeast Asia"
"Switzerland","switzerland","32.7","2017 est.","131","Europe"
"Mauritania","mauritania","32.6","2014 est.","132","Africa"
