Country,Years,liters of pure alcohol,Percent of Obesity,Percent of Tobacco Use
Japan,48.6,8.36,4.3,20.1
Germany,47.8,10.56,22.3,22.0
Italy,46.5,7.65,19.9,23.1
Andorra,46.2,10.99,25.6,31.8
Greece,45.3,6.33,24.9,33.5
Slovenia,44.9,11.05,20.2,22.0
Portugal,44.6,10.37,20.8,25.4
Austria,44.5,11.9,20.1,26.4
Lithuania,44.5,11.93,26.3,32.0
Latvia,44.4,12.9,23.6,37.0
Croatia,43.9,9.64,24.4,36.9
Spain,43.9,10.72,23.8,27.7
Bulgaria,43.7,11.18,25.0,39.0
Estonia,43.7,11.65,21.2,29.7
Hungary,43.6,10.79,26.4,31.8
Serbia,43.4,7.45,21.5,39.8
Bosnia and Herzegovina,43.3,5.46,17.9,35.0
Czechia,43.3,12.73,26.0,30.7
"Korea, South",43.2,7.74,4.7,20.8
Finland,42.8,8.23,22.2,21.6
Netherlands,42.8,8.23,20.4,22.2
Switzerland,42.7,9.41,19.5,25.5
Romania,42.5,10.96,22.5,28.0
Malta,42.3,8.07,28.9,24.0
Cuba,42.1,4.7,24.6,17.9
Denmark,42.0,9.16,19.7,17.5
Poland,41.9,10.96,23.1,24.0
Canada,41.8,8.0,29.4,13.0
Slovakia,41.8,10.3,20.5,31.5
France,41.7,11.44,21.6,33.4
Belgium,41.6,9.15,22.1,23.4
Ukraine,41.2,5.69,24.1,25.8
Sweden,41.1,7.1,20.6,24.0
Belarus,40.9,10.57,24.5,30.5
United Kingdom,40.6,9.8,27.8,15.4
Russia,40.3,7.29,23.1,26.8
Montenegro,39.6,9.91,23.3,31.4
Barbados,39.5,9.94,23.1,8.5
Luxembourg,39.5,11.0,22.6,21.1
Norway,39.5,6.05,23.1,16.2
Thailand,39.0,6.86,10.0,22.1
Georgia,38.6,7.45,21.7,31.7
United States,38.5,8.93,36.2,23.0
China,38.4,4.48,6.2,25.6
Cook Islands,38.3,12.97,55.9,24.0
Cyprus,37.9,9.59,21.8,35.1
Ireland,37.8,10.91,25.3,20.8
Moldova,37.7,7.45,18.9,29.0
Australia,37.5,9.51,29.0,13.6
New Zealand,37.2,9.17,30.8,13.7
Iceland,37.1,7.72,21.9,12.0
Seychelles,36.8,9.48,14.0,20.2
Armenia,36.6,3.77,20.2,25.5
Mauritius,36.3,3.39,10.8,20.2
Singapore,35.6,1.81,6.1,16.5
Chile,35.5,7.8,28.0,29.2
Uruguay,35.5,5.42,27.9,21.5
"Korea, North",34.6,3.61,6.8,17.4
Albania,34.3,4.4,21.7,22.4
Lebanon,33.7,1.14,32.0,38.2
Qatar,33.7,0.96,35.1,11.8
Sri Lanka,33.7,2.58,5.2,22.0
Brazil,33.2,6.12,22.1,12.8
Bahrain,32.9,1.18,29.8,14.9
"Bahamas, The",32.8,9.48,31.6,10.6
Tunisia,32.7,1.51,26.9,24.6
Azerbaijan,32.6,1.38,19.9,24.0
Costa Rica,32.6,3.07,25.7,8.8
Argentina,32.4,7.95,28.3,24.5
Turkey (Turkiye),32.2,1.18,32.1,30.7
Vietnam,31.9,3.41,2.1,24.8
Iran,31.7,0.02,25.8,13.6
Kazakhstan,31.6,3.73,21.0,23.2
Colombia,31.2,4.09,22.3,8.5
Brunei,31.1,0.69,14.1,16.2
Indonesia,31.1,0.08,6.9,37.6
Saudi Arabia,30.8,0.0,35.4,14.3
Israel,30.4,3.07,26.1,21.2
Panama,30.1,6.54,22.7,5.0
Uzbekistan,30.1,2.45,16.6,17.6
Fiji,29.9,2.71,30.2,23.1
Mongolia,29.8,5.46,20.6,29.4
Kuwait,29.7,0.0,37.9,17.9
Paraguay,29.7,5.47,20.3,11.5
Maldives,29.5,1.38,8.6,25.2
Jamaica,29.4,3.46,24.7,9.4
Mexico,29.3,4.25,28.9,13.1
Burma,29.2,2.06,5.8,44.1
Malaysia,29.2,0.64,15.6,22.5
Turkmenistan,29.2,2.88,18.6,5.5
Morocco,29.1,0.51,26.1,14.5
Peru,29.1,5.74,19.7,8.1
Algeria,28.9,0.59,27.4,21.0
Ecuador,28.8,3.05,19.9,11.3
India,28.7,3.09,3.9,27.2
South Africa,28.0,7.21,28.3,20.3
Bangladesh,27.9,0.0,3.6,34.7
Dominican Republic,27.9,5.56,27.6,10.6
El Salvador,27.7,2.94,24.6,7.9
Guyana,27.5,5.11,20.2,12.1
Kyrgyzstan,27.3,4.02,16.6,25.4
Nauru,27.0,2.44,61.0,48.5
Cabo Verde,26.8,4.7,11.8,11.4
Tuvalu,26.6,0.93,51.6,35.6
Cambodia,26.4,4.56,3.9,21.1
Oman,26.2,0.47,27.0,8.0
Botswana,25.7,5.98,18.9,19.4
Kiribati,25.7,0.43,46.0,40.6
Samoa,25.6,2.18,47.3,25.3
Bolivia,25.3,2.98,20.2,12.7
Nepal,25.3,0.36,4.1,30.4
Lesotho,24.7,3.56,16.6,24.3
